224,485,นายยาดิลัน อาลียิสเฮาะ,พรรคพลังประชารัฐ,เห็นด้วย
225,499,นายเอฮียม ทองใจสด,พรรคพลังประชาวัฐ,เห็นด้วย
226,ๆไ21,นายสุชาติ ตันเจริญ,พรรคพลังประชาธัฐ,งดตออกเสียง
2?7,405,นายสินติ พร้อมพัฒน์,พรรคพลังประชารัฐ,
228,420,นายสุชาติ ซมกลิน,พรรคพถังประชารัฐ,
424229,006,นายกรวีรว์ ปริศนานันทกุส,พรรคภูมิใจไทย,เห็นด้วย
ว2ว30,008,นายกฤติเดช สันติวซิระกุล,พรรคภูมิใจไทย,เห็นตด้วย
231,021,นายกิตติชัย เรืองสวัสดิ์,พรรคภูมิใจไทย,เห็นด้วย
232,032,นายเกียรติ เหลืองขจรวิทย์,พรรคภูมิไใจไทย,เห็นด้วย
933,033,นายเกื้อกูล ต่านซัยวิจิตร,พรรคภูมิใจไทย,เห็นด้วย
234,040,นายคงกฤษ ฉัตรมาลิรัตน์,พรรคภูมิใจไทย,เห็นด้วย
235,052,นายจักรกฤษณ์ ทองศรี,พรรคภูมิไจไทย,เห็นด้วย
236,082,นายชยุต ภูมมะกาญจนะ,พรรคภูมิใจไทย,เห็นด้วย
2237,088,'านายสวาบ เผ่าประทาน,พรรคภูมิใจไทย,เห็นด้วย
238,ฏิ95,นายชาตา ไทยเศรษฐ์,พรรคภูมิใจไทย,เห็นด้วย
229,104,นายโชติพิพัฒน์ เตขะโสภณมณี,พรรคภูมิใจไทย,เห็นด้วย
240,113,นายฐิตินันท์ แสงนาค,พรรคภูมิไจไทย,เห็นด้วย
2401,116,นายณัฏจ์ชนน ศรีก่อเกื้อ,พรรคภูมิใจไทย,เห็นด้วย
202,132,นายไตรเทพ งามคมล,พรรคภูมิใจไทย,เห็นด้วย
2843,136,พันเอกเศรษฐพงศ์ มะลิสุวรรณ,พรรคภูมิใจไทย,เห็นด้วย
2ก0,177,นายสุชาติ โขคชัยวัฒนากร,พรรคภูมิใจไทย,เห็นด้วย
245,197,นายบุญลือ ประเสริฐโสภา,พรรคภูมิใจไทย,เห็นด้วย
2486,200,นายปกรณ์ มุ่งเจริญพร,พรรคภูมิใจไทย,เห็นด้วย
2407,230,นายพรชัย อํานวยทรัพย์,พรรคภูมีใจไทย,เห็นด้วย
2ใช,233,นางสาวพรพิมล จธรรมสาร,พรรคภูมิใจไทย,เห็นด้วย
249,2846,นายพิบูลย์ รัชกิจประการ,พรรคภูมิใจไทย,เห็นด้วย
250,249,นายพิษณุ พลธี,พรรคภูมีใจไทย,เห็นด้วย
251,256,นางสาวเพชรดาว โต๊ะมีนา,พรรคภูมิใจไทย,เห็นด้วย
252,263,นายภราดร3ร ปริศนานันทกล,พรรคภูมิใจไทย,เห็นด้วย
253,214,ร้อขดํารวจตรีมณฑล โพ๊ธิ์คาย,พรรคภูมิใจไทย,เห็นด้วย
254,280,นางสาวมัลลสิกา จิระพันธุ์วาณิช,พรรคภูมิไจไทย,เห็นด้วย
255,281,นายมานพ ศรีผึ้ง,พรรคภูมิใจไทย,เห็นด้วย
256,299,นายรังสึกร ทิมาตถกะ,พรรคภูมิใจไทย,เห็นด้วย
,,,กลุมงานรายงานการประชุม สํานักรายงานการประซชุมและชวเลข,
,,,,หน้า 9/ 1.1518
ลําตับที่,เลขที่บัตร,ชื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
2ว05ธั,ว3ว03,นายรุ่งโรจน์ ทองศรี,พรรคภูมิใจไทย,เห็นด้วย
258,3230,นายวิรัช พันธุมะผล,พรรคภูมิใจไทย,เห็นด้วย
259,538,นายวิสิทธิ์ พิทยาภรณ์,พรรคภูมิใจไทย,เห็นตด้วย
260,541,นายมารุต มัสยวาณิช,พรรคภูมิใจไทย,เห็นด้วย
261,55ว2,นางสาวศรีนวล บุญลือ,พรรคภูมิใจไทย,เห็นด้วย
2629,5958,นายศักดิ์สยาม ซิตชซอบ,พรรคภูมิใจไทย,เห็นด้วย
2653,364,นายศีรีวัฒน์ ขจรประศาสน์,พรรคภูมิไจไทย,เห็นด้วย
264,วย์ซ์,นายศุภชัย ใจสมุทร,พรรคภูมิใจไทย,เห็นด้วย
265,269,นางสาวศุภมาส อิศรภักดี,พรรคภูมิใจไทย,เห็นด้วย
