0,1,2,3,4,5
169,244,นายพิเชษฐ สถิรชวาล,พรรคพลังประชารัฐ,เห็นด้วย,
170,247,นางสาวพิมพ์พร พรพฤฒิพันธุ์,พรรคพลังประชารัฐ,เห็นด้วย,
171,253,นายต่อศักดิ์ อัศวเหม,พรรคพลังประชารัฐ,เห็นด้วย,
172,259,นายไพบูลย์ นิติตะวัน,พรรคพลังประชารัฐ,เท็นด้วย,
173,261,นางสาวไพลิน เทียนสุวรรณ,พรรคพลังประชารัฐ,.ท็นด้วย,
174,:264,นางสาวภริม พูลเจริญ,พรรคพลังประชารัฐ,เท็นด้วย,
175,267,นางสาวภาดาท์ วรกานนท์,พรรคพลังประชารัฐ,เห็นด้วย,
176,270,นายภิญโญ นิโรจน์,พรรคพลังประชารัฐ,เห็นด้วย,
177,271,นายภูดิท อินสุวรรณ์,พรรคพลังประชารัฐ,เห็นด้วย,
178,275,นายมณ.ทียร สงฆ์ประชา,พรรคพลังประชารัฐ,เท็นด้วย,
179,289,นายยงยุทธ สุวรรณบุตร,พรรคพลังประชารัฐ,เท็นด้วย,
180,294,รองศาสตราจารยรงค์ บุญสวยขวัญ,พรรคพลังประชารัฐ,เห็นด้วย,
181,295,นายรณเทพ  อนุวัฒน์,พรรคพลังประชารัฐ,เท็นด้วย,
182,309,นางสาวาทันยา วงษ์โอภาสี,พรรคพลังประชารัฐ,เห็นด้วย,
183,322,นายวันชัย  ปริญญาศิริ,พรรคพลังประชารัฐ,เห็นด้วย,
184,324,นางวันเพ็ญ พร้อมพัฒน์,พรรคพลังประชารัฐ, เท็นด้วย,
185,327,นายวิเชียร ชวลิต,พรรคพลังประชารัฐ,เห็นด้วย,
186,342,นายวีระกร คำประกอบ,พรรคพลังประชารัฐ,เห็นด้วย,
187,349,นายเพชรภูมิ  อากรณรัตน์,พรรคพลังประชารัฐ .ว,เห็นด้วย,
188,359,นายศาสตรา ศรีปาน,พรรคพลังประชารัฐ,เห็นด้วย,
189,362,นายศิริพงษ์ รัสมี,พรรคพลังประชารัฐ,เท็นด้วย,
190,376,นายสมเกียรติ วอนเพียร,พรรคพลังประชารัฐ,เห็นด้วย,
,,.,,,
,,,,หน้า 7/1.1521,
ลำดับที,เลขที่บัตร,ชือ-สกุล,ชื่อสังกัด,ผลการลงคะแนน,
191,382,พลเอก สมชาย วิษณุวงศ์,พรรคพลังประชารัฐ,เห็นด้วย,
192,384,นายสมบัติ อำนาคะ,พรรคพลังประชารัฐ,เห็นด้วย,
193,386,นายสมพงษ์ โสภณ,พรรคพลังประชารัฐ,เห็นด้วย,
194,395,นายสรวุฒิ เนืองจำนงค์,พรรคพลังประชารัฐ,เท็นด้วย,
195,402,นายสัญญา นิลสุพรรณ,พรรคพลังประชารัฐ,เห็นด้วย,
196,403,นายสัณหพจน์ สุขศรี.มือง,พรรคพลังประชารัฐ,เห็นด้วย,
197,404,นายสุรพร ดนัยตั้งตระกูล,พรรคพลังประชารัฐ,เห็นด้วย,
198,407,นายสัมฤทธิ์ แทนทรัพย์,พรรคพลังประชารัฐ,เห็นด้วย,
199,411,นายสาธิต  อุยตระกูล,พรรคพลังประชารัฐ,.ห็นด้วย,
200,412,นายสายัณห์ ยุติธรรม,พรรคพลังประชารัฐ,เท็นด้วย,
201,423,นายสุชาติ อุสาหะ,พรรคพลังประชารัฐ,เท็นด้วย,
202,426,นายสุทา ประทิปฺณ ถลาง,พรรคพลังประชารัฐ,เห็นด้วย,
203,430,นายชวน ชูจันทร์,พรรคพลังประชารัฐ,เห็นด้วย,
204,436,นายสุรชาติ ศรีบุศกร,พรรคพลังประชารัฐ,เห็นด้วย,
205,442,นายสุรศักดิ์ ชิงนวรรณ์,พรรคพลังประชารัฐ,เท็นด้วย,
206,444,นายสุรศักดิ์ อนรรมพันธ์,พรรคพลังประชารัฐ,เห็นด้วย,
207,445,นายสุรสิทธิ์ นิธิวุฒิวรรักษ์,พรรคพลังประชารัฐ,เท็นด้วย,
208,446,นายสุรสิทธิ์ วงศ์วิทยานันท์,พรรคพลังประชารัฐ,เห็นด้วย,
209,448,นายสุริยะ  จึงรุ่งเรืองกิจ,พรรคพลังประชารัฐ,เห็นด้วย,
210,456,นายอธิรัฐ รัตนเศรษฐ,พรรคพลังประชารัฐ,เห็นด้วย,
211,457,นายอนันต์ ผลอำนวย,พรรคพลังประชารัฐ,เห็นด้วย,
212,461,นายอนุชา นาคาศัย,พรรคพลังประชารัฐ,เท็นด้วย,
213,476,นายอรรถาร ศีรีลัทธยากร,พรรคพลังประชารัฐ,.ห็นด้วย,
214,477,ร้อยตำรวจเอก อรุณ สวัสดี,พรรคพลังประชารัฐ,เท็นด้วย,
215,479,นายอัครวัฒน์ อัศวเหม,พรรคพลังประชารัฐ,เท็นด้าย,
216,480,นายอัฏฐพล โพธิพิพิธ,พรรคพลังประชารัฐ,เห็นด้วย,
217,485,"นายอาดีลัน อาลีอิส,ฮาะ",พรรคพลังประชารัฐ,เห็นด้วย,
218,499,นายเอี่ยม  ทองใจสด,พรรคพลังประชารัฐ,เท็นด้วย,
219,317,นายวัชระ ยาวอหะขัน,พรรคพลังประชารัฐ,ไม่เห็นด้วย,
,,,ง,,
220,406,นายสัมพันธ์ มะยูโช๊ะ,พรรคพลังประชารัฐ,ไม่เท็นด้วย,
221,460,นายอนุขา น้อยวงศ์,พรรคพลังประชารัฐ,ไมเห็นด้วย,
222,227,นายพงศึกวิน  จึงรุ่งเรืองกิจ,พรรคพลังประชารัฐ,=,
223,229,นายพยม พรหมเพชร ..,พรรคพลังประชารัฐ,อ,
,,,,หน้า 8/ 1.1521,
ลำดับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแนน,
224,284,นายมานัส อ่อนอ้าย,พรรคพลังประชารัฐ,..,
225,389,นายสมศักดิ์  เทพสุทิน,พรรคพลังประชารัฐ,.๒.,
226,405,นายสันติ พร้อมพัฒน์,พรรคพลังประชารัฐ,4.,
227,420,นายสุชาติ ชมกลิน,พรรคพลังประชารัฐ,..,
228,421,นายสุขาติ ตันเจริญ,พรรคพลังประชารัฐ,..,
229, 006,นายกรวีร์ ปริศนานันทกุล,พรรคภูมิใจไทย,เห็นด้วย,
230,008,นายกฤติเดช สันติวชิระกุล,พรรคภูมิใจไทย,เห็นด้วย,
231,021,นายกิตติชัย เรืองสวัสดิ์,พรรคภูมิใจไทย,เห็นด้วย,
232,032,นายเกียรติ เหลืองขจรวิทย์,พรรคภูมีใจไทย,เห็นด้วย,
233,033,นายเกื้อกูล ด่านขัยวิจิตร,พรรคภูมิใจไทย,เห็นด้วย,
234,040,นายคงกฤษ ฉัตรมาลีรัตน์,พรรคภูมิใจไทย,เห็นด้วย,
235,052,นายจักรกฤษณ์ ทองศรี,พรรคภูมีใจไทย,เท็นด้วย,
236,082,นายขยุต ภุมมะกาญจนะ,พรรคภูมิใจไทย,เห็นด้าย,
237,095,นายขาดา ไทยเศรษฐ์,พรรคภูมิใจไทย,เท็นด้าย,
238,104,นายโขติพิพัฒน์ .ตชะโสภณมณี,พรรคภูมีใจไทย,.ท็นด้วย,
239,113,นายริตินันท์ แ.สงนาค,พรรคภูมีใจไทย,เห็นด้วย,
240,116,นายณัฏฐ์ชนน ศรีก่อ.กื้อ,พรรคภูมิใจไทย,เห็นด้วย,
241,132,นายไตรเทพ งามกมล,พรรคภูมิใจไทย,เห็นด้วย,
242,136,พันเอกเศรษฐพงค์ มะลิสุวรรณ,พรรคภูมิใจไทย,เห็นด้วย,
243,177,นายสุชาติ โชคชัยวัฒนากร,พรรคภูมีใจไทย,เห็นด้วย,
244,197,นายบุญลือ ประเสริฐโสภา,พรรคภูมีใจไทย,เห็นด้วย,
245,200,นายปกรณ์ มุ่งเจริญพร,พรรคภูมิใจไทย,เห็นด้วย,
246,230,นายพรชัย อำนวยทรัพย์,พรรคภูมิใจไทย,เห็นด้าย,
247,233,นางสาวพรพิมล ธรรมสาร,พรรคภูมิใจไทย,เห็นด้วย,
248,246,นายพิบูลย์ รัชกิจประการ,พรรคภูมิใจไทย,เห็นด้วย,
249,249,นายพิษณุ พลธี,พรรคภูมิใจไทย,เห็นด้วย,
250,263,นายาราคร ปริศนานันทกุล,พรรคภูมิใจไทย,เท็นด้วย,
251,274,ร้อยตำราจตรีมณฑล โพธิ์คาย,พรรคภูมีใจไทย,เห็นด้วย,
252,280,นางสาวมัลลิกา จิระพันธุ์วาณิข,พรรคภูมิใจไทย,เห็นด้วย,
253,281,นายมานท ศรีผึ้ง,พรรคภูมิใจไทย,เห็นด้วย,
254,299,นายรังสิกร ทิมาตฤกะ,พรรคภูมิใจไทย,เห็นด้าย,
255,303,นายรุ่งโรจน์ ทองศรี,พรรคภูมิใจไทย,เท็นด้วย,
256,330,นายวิรัช พันธุมะผล .า,พรรคภูมิใจไทย,เท็นด้วย,
,,,,หน้า 9/ 1.1521,
ลำดับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแบน,
257,333,นายวิสิทธิ์ พิทยาภรณ์,พรรคภูมิใจไทย,เห็นด้วย,
258,341,นายมารุต มัสยวาณิช,พรรคภูมิใจไทย,เท็นด้วย,
259,353,นางสาวศรีนวล บุญลือ,พรรคภูมิใจไทย,เท็นด้วย,
260,364,นายศิริวัฒน์ ขจรประศาสน์,พรรคภูมิใจไทย,เท็นด้วย,
261,369,นางสาวศุภมาส อิศรภักดี,พรรคภูมีใจไทย,เห็นด้วย,
262,373,นายสนอง เทพอักษรณรงค์,พรรคภูมิใจไทย,เห็นด้วย,
263,385,นายสมบูรณํ ชารัมย์,พรรคภูมิใจไทย,เห็นด้วย,
264,396,นายสรอรรถ กลินประทุม,พรรคภูมิใจไทย,เท็นด้วย,
265,399,นายสฤษฎ์พงษ์ เกี่ยวข้อง,พรรคภูมิใจไทย,เห็นด้วย,
266, 400,นายสฤษดิ์ บุตรเนียร,พรรคภูมิใจไทย,เท็นด้วย,
267,419,นายสิริพงศ์ อังคสกุลเกียรติ,พรรคภูมิใจไทย,เท็นด้วย,
268,443,นายสุรศักดิ์ พันธ์เจริญวรกุล,พรรคภูมิใจไทย,เท็นด้วย,
269,451,นายโสภณ ชารัมย์,พรรคภูมิใจไทย,เห็นด้วย,
270,455,นายอดิพงษ์ ริติพิทยา,พรรคภูมีใจไทย,เห็นด้วย,
271,459,นายอนาวิล รัตนสถาพร,พรรคภูมิใจไทย,เท็นด้วย,
